time_s,max_T_C,min_T_C,max_abs_dTdt_C_per_min,conv_ramp
2370,705.003,27.0687,1660.88,3.81013e-05
2376,704.71,27.0697,1658.2,3.81143e-05
2382,704.417,27.0707,1655.52,3.81272e-05
2388,704.124,27.0717,1652.83,3.81402e-05
2394,703.831,27.0727,1650.14,3.81532e-05
2400,703.538,27.0737,1647.45,3.81662e-05
2406,703.245,27.0747,1644.76,3.81793e-05
2412,702.952,27.0757,1642.07,3.81923e-05
2418,702.658,27.0767,1639.38,3.82054e-05
2424,702.364,27.0778,1636.69,3.82185e-05
2430,702.07,27.0788,1634,3.82316e-05
2436,701.776,27.0799,1631.3,3.82447e-05
2442,701.482,27.0809,1628.61,3.82578e-05
2448,701.188,27.082,1625.91,3.8271e-05
2454,700.893,27.083,1623.21,3.82842e-05
2460,700.598,27.0841,1620.51,3.82974e-05
2466,700.303,27.0852,1617.81,3.83106e-05
2472,700.008,27.0863,1615.11,3.83238e-05
2478,699.713,27.0874,1612.41,3.83371e-05
2484,699.417,27.0885,1609.71,3.83504e-05
2490,699.122,27.0896,1607,3.83637e-05
2496,698.826,27.0907,1604.3,3.8377e-05
2502,698.53,27.0918,1601.59,3.83903e-05
2508,698.234,27.093,1598.89,3.84037e-05
2514,697.938,27.0941,1596.18,3.8417e-05
2520,697.641,27.0953,1593.47,3.84304e-05
2526,697.344,27.0964,1590.76,3.84438e-05
2532,697.047,27.0976,1588.06,3.84573e-05
2538,696.75,27.0988,1585.34,3.84707e-05
2544,696.453,27.0999,1582.63,3.84842e-05
2550,696.156,27.1011,1579.92,3.84977e-05
2556,695.858,27.1023,1577.21,3.85112e-05
2562,695.56,27.1035,1574.49,3.85247e-05
2568,695.262,27.1047,1571.78,3.85383e-05
2574,694.964,27.106,1569.06,3.85519e-05
2580,694.665,27.1072,1566.35,3.85655e-05
2586,694.367,27.1084,1563.63,3.85791e-05
2592,694.068,27.1097,1560.91,3.85927e-05
2598,693.769,27.1109,1558.2,3.86064e-05
2604,693.469,27.1122,1555.48,3.86201e-05
2610,693.17,27.1134,1552.76,3.86338e-05
2616,692.87,27.1147,1550.04,3.86475e-05
2622,692.57,27.116,1547.32,3.86613e-05
2628,692.27,27.1173,1544.59,3.8675e-05
2634,691.979,27.1186,1541.87,3.86888e-05
2640,691.695,27.1199,1539.15,3.87022e-05
2646,691.41,27.1212,1536.43,3.87153e-05
2652,691.125,27.1226,1533.7,3.87284e-05
2658,690.84,27.1239,1530.98,3.87416e-05
2664,690.554,27.1253,1528.25,3.87548e-05
2670,690.268,27.1266,1525.53,3.87679e-05
2676,689.982,27.128,1522.8,3.87812e-05
2682,689.695,27.1294,1520.07,3.87944e-05
2688,689.409,27.1308,1517.34,3.88077e-05
2694,689.121,27.1321,1514.62,3.8821e-05
2700,688.834,27.1336,1511.89,3.88343e-05
2706,688.546,27.135,1509.16,3.88476e-05
2712,688.258,27.1364,1506.43,3.8861e-05
2718,687.97,27.1378,1503.7,3.88744e-05
2724,687.682,27.1393,1500.97,3.88878e-05
2730,687.393,27.1407,1498.24,3.89013e-05
2736,687.103,27.1422,1495.51,3.89147e-05
2742,686.814,27.1437,1492.78,3.89282e-05
2748,686.524,27.1452,1490.05,3.89418e-05
2754,686.234,27.1466,1487.32,3.89553e-05
2760,685.944,27.1482,1484.58,3.89689e-05
2766,685.653,27.1497,1481.85,3.89825e-05
2772,685.362,27.1512,1479.12,3.89961e-05
2778,685.071,27.1527,1476.39,3.90098e-05
2784,684.779,27.1543,1473.65,3.90234e-05
2790,684.487,27.1558,1470.92,3.90371e-05
2796,684.195,27.1574,1468.19,3.90509e-05
2802,683.903,27.159,1465.45,3.90646e-05
2808,683.61,27.1606,1462.72,3.90784e-05
2814,683.317,27.1622,1459.98,3.90922e-05
2820,683.023,27.1638,1457.25,3.91061e-05
2826,682.729,27.1654,1454.52,3.91199e-05
2832,682.435,27.1671,1451.78,3.91338e-05
2838,682.141,27.1687,1449.05,3.91477e-05
2844,681.846,27.1704,1446.31,3.91617e-05
2850,681.551,27.172,1443.57,3.91757e-05
2856,681.256,27.1737,1440.84,3.91897e-05
2862,680.961,27.1754,1438.1,3.92037e-05
2868,680.665,27.1771,1435.37,3.92177e-05
2874,680.369,27.1788,1432.63,3.92318e-05
2880,680.072,27.1806,1429.9,3.92459e-05
2886,679.775,27.1823,1427.16,3.92601e-05
2892,679.478,27.1841,1424.42,3.92742e-05
2898,679.181,27.1858,1421.69,3.92884e-05
2904,678.883,27.1876,1418.95,3.93026e-05
2910,678.585,27.1894,1416.22,3.93169e-05
2916,678.287,27.1912,1413.48,3.93311e-05
2922,677.988,27.193,1410.75,3.93454e-05
2928,677.689,27.1949,1408.01,3.93598e-05
2934,677.39,27.1967,1405.27,3.93741e-05
2940,677.09,27.1986,1402.54,3.93885e-05
2946,676.79,27.2004,1399.8,3.94029e-05
2952,676.49,27.2023,1397.07,3.94174e-05
2958,676.19,27.2042,1394.33,3.94318e-05
2964,675.889,27.2061,1391.6,3.94463e-05
2970,675.588,27.208,1388.86,3.94608e-05
2976,675.286,27.21,1386.13,3.94754e-05
2982,674.985,27.2119,1383.39,3.949e-05
2988,674.683,27.2139,1380.66,3.95046e-05
2994,674.38,27.2159,1377.92,3.95192e-05
3000,674.078,27.2179,1375.19,3.95339e-05
3006,673.775,27.2199,1372.45,3.95486e-05
3012,673.472,27.2219,1369.72,3.95633e-05
3018,673.168,27.2239,1366.98,3.9578e-05
3024,672.864,27.226,1364.25,3.95928e-05
3030,672.56,27.2281,1361.52,3.96076e-05
3036,672.256,27.2301,1358.79,3.96225e-05
3042,671.952,27.2322,1356.06,3.96373e-05
3048,671.648,27.2343,1353.33,3.96522e-05
3054,671.343,27.2365,1350.6,3.96671e-05
3060,671.038,27.2386,1347.88,3.9682e-05
3066,670.733,27.2407,1345.15,3.96969e-05
3072,670.428,27.2429,1342.43,3.97119e-05
3078,670.123,27.2451,1339.71,3.97268e-05
3084,669.818,27.2473,1337,3.97418e-05
3090,669.512,27.2495,1334.28,3.97569e-05
3096,669.207,27.2517,1331.56,3.97719e-05
3102,668.901,27.254,1328.85,3.9787e-05
3108,668.595,27.2562,1326.14,3.9802e-05
3114,668.289,27.2585,1323.43,3.98172e-05
3120,667.983,27.2608,1320.72,3.98323e-05
3126,667.676,27.2631,1318.02,3.98474e-05
3132,667.37,27.2654,1315.31,3.98626e-05
3138,667.063,27.2677,1312.61,3.98778e-05
3144,666.756,27.27,1309.91,3.9893e-05
3150,666.449,27.2724,1307.21,3.99082e-05
3156,666.142,27.2748,1304.51,3.99235e-05
3162,665.835,27.2772,1301.81,3.99388e-05
3168,665.527,27.2796,1299.12,3.99541e-05
3174,665.219,27.282,1296.43,3.99694e-05
3180,664.912,27.2845,1293.74,3.99848e-05
3186,664.604,27.2869,1291.05,4.00001e-05
3192,664.295,27.2894,1288.36,4.00155e-05
3198,663.987,27.2919,1285.67,4.0031e-05
3204,663.679,27.2944,1282.99,4.00464e-05
3210,663.37,27.2969,1280.31,4.00619e-05
3216,663.061,27.2995,1277.62,4.00773e-05
3222,662.753,27.302,1274.95,4.00929e-05
3228,662.443,27.3046,1272.27,4.01084e-05
3234,662.134,27.3072,1269.59,4.01239e-05
3240,661.825,27.3098,1266.92,4.01395e-05
3246,661.515,27.3124,1264.25,4.01551e-05
3252,661.206,27.3151,1261.58,4.01707e-05
3258,660.896,27.3178,1258.91,4.01864e-05
3264,660.586,27.3204,1256.24,4.0202e-05
